
        aeat         rho           p          cp           t         isp          ae          cf
   0.0000E+00  8.9007E+00  1.9899E+01  2.6344E+02  6.3382E+00  3.9365E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.5092E+00  1.2275E+01  1.5233E+02  6.4178E+00  3.7413E+03  1.1850E+03  1.0000E+00
   0.0000E+00  9.5272E+00  2.0645E+01  2.7358E+02  6.3083E+00  3.9426E+03  0.0000E+00  0.0000E+00
   0.0000E+00  5.8975E+00  1.2735E+01  1.5818E+02  6.3874E+00  3.7467E+03  1.1857E+03  1.0000E+00
   0.0000E+00  1.0153E+01  2.1389E+01  2.8371E+02  6.2795E+00  3.9486E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.2856E+00  1.3195E+01  1.6403E+02  6.3584E+00  3.7520E+03  1.1862E+03  1.0000E+00
   0.0000E+00  1.0779E+01  2.2134E+01  2.9384E+02  6.2519E+00  3.9543E+03  0.0000E+00  0.0000E+00
   0.0000E+00  6.6734E+00  1.3654E+01  1.6988E+02  6.3305E+00  3.7571E+03  1.1868E+03  1.0000E+00
   0.0000E+00  1.1404E+01  2.2877E+01  3.0398E+02  6.2254E+00  3.9598E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.0610E+00  1.4113E+01  1.7573E+02  6.3036E+00  3.7620E+03  1.1873E+03  1.0000E+00
   0.0000E+00  1.2030E+01  1.1053E+01  1.4185E+02  6.7060E+00  3.8209E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.4484E+00  6.8163E+00  8.2096E+01  6.7727E+00  3.6372E+03  1.1662E+03  1.0000E+00
   0.0000E+00  1.2654E+01  1.1821E+01  1.5199E+02  6.6472E+00  3.8319E+03  0.0000E+00  0.0000E+00
   0.0000E+00  7.8357E+00  7.2903E+00  8.7951E+01  6.7133E+00  3.6470E+03  1.1673E+03  1.0000E+00
   0.0000E+00  1.3279E+01  1.2588E+01  1.6212E+02  6.5927E+00  3.8422E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.2228E+00  7.7634E+00  9.3806E+01  6.6583E+00  3.6561E+03  1.1683E+03  1.0000E+00
   0.0000E+00  1.3903E+01  1.3354E+01  1.7225E+02  6.5420E+00  3.8519E+03  0.0000E+00  0.0000E+00
   0.0000E+00  8.6097E+00  8.2359E+00  9.9660E+01  6.6071E+00  3.6647E+03  1.1693E+03  1.0000E+00
   0.0000E+00  1.4527E+01  1.4118E+01  1.8238E+02  6.4945E+00  3.8610E+03  0.0000E+00  0.0000E+00
